"Qty","Value","Device","Parts","Description","PARTNO"
"1","22nF","C-US075-032X103","C3","CAPACITOR, American symbol","B32560J8223K000"
"2","1000uF","CPOL-USE3.5-8","C1, C2","POLARIZED CAPACITOR, American symbol","APSG160ELL102MH20S"
"2","1uF","C_MLCC_SMDCMLCC_0306","C8, C9",,"C0816X5R1C105M050AC"
"1",,"C_MLCC_SMDCMLCC_0805","C4",,"C2012JB1E156M125AC"
"3","15uF","C_MLCC_SMDCMLCC_0805","C5, C6, C7",,"C2012JB1E156M125AC"
"1","EDSTL130/02","EDSTL130/02","CON1",,"EDSTL130/02 (buy also ED130/2DS)"
"3","3.3uH","INDUCTOR-VISHAY","L1, L2, L3",,"IHLP3232DZER3R3M11"
"2","50Ohm(100MHz)","INDUCTOR1206","L4, L5",,"BLM31SN500SN1L"
"1","IRM-45-5","IRM-45","AC1",,"IRM-45-5"
"1","Power entry","SHURTER_DD22","J1",,"DD22.2111.1111"
